team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,ROW,year,League
Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,2018,NHL
Tampa Bay Lightning*,82,54,23,5,113,.689,296,236,0.66,-0.07,.634,48,2018,NHL
Boston Bruins*,82,50,20,12,112,.683,270,214,0.62,-0.07,.610,47,2018,NHL
Toronto Maple Leafs*,82,49,26,7,105,.640,277,232,0.49,-0.06,.567,42,2018,NHL
Florida Panthers,82,44,30,8,96,.585,248,246,-0.01,-0.04,.537,41,2018,NHL
Detroit Red Wings,82,30,39,13,73,.445,217,255,-0.48,-0.01,.341,25,2018,NHL
Montreal Canadiens,82,29,40,13,71,.433,209,264,-0.68,0.00,.378,27,2018,NHL
Ottawa Senators,82,28,43,11,67,.409,221,291,-0.85,0.00,.372,26,2018,NHL
Buffalo Sabres,82,25,45,12,62,.378,199,280,-0.98,0.01,.311,24,2018,NHL
Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,2018,NHL
Washington Capitals*,82,49,26,7,105,.640,259,239,0.21,-0.04,.585,46,2018,NHL
Pittsburgh Penguins*,82,47,29,6,100,.610,272,250,0.23,-0.04,.573,45,2018,NHL
Philadelphia Flyers*,82,42,26,14,98,.598,251,243,0.07,-0.03,.543,40,2018,NHL
Columbus Blue Jackets*,82,45,30,7,97,.591,242,230,0.11,-0.04,.537,39,2018,NHL
New Jersey Devils*,82,44,29,9,97,.591,248,244,0.02,-0.03,.530,39,2018,NHL
Carolina Hurricanes,82,36,35,11,83,.506,228,256,-0.35,-0.01,.439,33,2018,NHL
New York Islanders,82,35,37,10,80,.488,264,296,-0.40,-0.01,.427,32,2018,NHL
New York Rangers,82,34,39,9,77,.470,231,268,-0.46,-0.01,.427,31,2018,NHL
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2018,NHL
Nashville Predators*,82,53,18,11,117,.713,267,211,0.71,0.03,.652,47,2018,NHL
Winnipeg Jets*,82,52,20,10,114,.695,277,218,0.74,0.02,.622,48,2018,NHL
Minnesota Wild*,82,45,26,11,101,.616,253,232,0.29,0.04,.549,42,2018,NHL
Colorado Avalanche*,82,43,30,9,95,.579,257,237,0.28,0.04,.518,41,2018,NHL
St. Louis Blues,82,44,32,6,94,.573,226,222,0.10,0.05,.518,41,2018,NHL
Dallas Stars,82,42,32,8,92,.561,235,225,0.17,0.04,.506,38,2018,NHL
Chicago Blackhawks,82,33,39,10,76,.463,229,256,-0.26,0.07,.409,32,2018,NHL
Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2018,NHL
Vegas Golden Knights*,82,51,24,7,109,.665,272,228,0.52,-0.01,.616,47,2018,NHL
Anaheim Ducks*,82,44,25,13,101,.616,235,216,0.24,0.01,.555,40,2018,NHL
San Jose Sharks*,82,45,27,10,100,.610,252,229,0.28,0.00,.537,40,2018,NHL
Los Angeles Kings*,82,45,29,8,98,.598,239,203,0.44,0.00,.543,43,2018,NHL
Calgary Flames,82,37,35,10,84,.512,218,248,-0.33,0.03,.470,35,2018,NHL
Edmonton Oilers,82,36,40,6,78,.476,234,263,-0.32,0.03,.415,31,2018,NHL
Vancouver Canucks,82,31,40,11,73,.445,218,264,-0.51,0.05,.409,31,2018,NHL
Arizona Coyotes,82,29,41,12,70,.427,208,256,-0.53,0.05,.372,27,2018,NHL
Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,2017,NHL
Montreal Canadiens*,82,47,26,9,103,.628,226,200,0.31,-0.01,.567,44,2017,NHL
Ottawa Senators*,82,44,28,10,98,.598,212,214,-0.01,0.01,.524,38,2017,NHL
Boston Bruins*,82,44,31,7,95,.579,234,212,0.27,0.00,.543,42,2017,NHL
Toronto Maple Leafs*,82,40,27,15,95,.579,251,242,0.11,0.00,.530,39,2017,NHL
Tampa Bay Lightning,82,42,30,10,94,.573,234,227,0.09,0.01,.506,38,2017,NHL
Florida Panthers,82,35,36,11,81,.494,210,237,-0.30,0.03,.433,30,2017,NHL
Detroit Red Wings,82,33,36,13,79,.482,207,244,-0.41,0.04,.348,24,2017,NHL
Buffalo Sabres,82,33,37,12,78,.476,201,237,-0.41,0.03,.427,31,2017,NHL
Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,2017,NHL
Washington Capitals*,82,55,19,8,118,.720,263,182,0.99,0.00,.689,53,2017,NHL
Pittsburgh Penguins*,82,50,21,11,111,.677,282,234,0.59,0.01,.616,46,2017,NHL
Columbus Blue Jackets*,82,50,24,8,108,.659,249,195,0.68,0.02,.610,48,2017,NHL
New York Rangers*,82,48,28,6,102,.622,256,220,0.47,0.03,.591,45,2017,NHL
New York Islanders,82,41,29,12,94,.573,241,242,0.03,0.05,.512,39,2017,NHL
Philadelphia Flyers,82,39,33,10,88,.537,219,236,-0.17,0.04,.463,32,2017,NHL
Carolina Hurricanes,82,36,31,15,87,.530,215,236,-0.21,0.05,.457,33,2017,NHL
New Jersey Devils,82,28,40,14,70,.427,183,244,-0.67,0.08,.341,25,2017,NHL
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2017,NHL
Chicago Blackhawks*,82,50,23,9,109,.665,244,213,0.32,-0.06,.591,46,2017,NHL
Minnesota Wild*,82,49,25,8,106,.646,266,208,0.63,-0.08,.591,46,2017,NHL
St. Louis Blues*,82,46,29,7,99,.604,235,218,0.17,-0.04,.561,44,2017,NHL
Nashville Predators*,82,41,29,12,94,.573,240,224,0.16,-0.04,.512,39,2017,NHL
Winnipeg Jets,82,40,35,7,87,.530,249,256,-0.11,-0.03,.476,37,2017,NHL
Dallas Stars,82,34,37,11,79,.482,223,262,-0.48,-0.01,.421,33,2017,NHL
Colorado Avalanche,82,22,56,4,48,.293,166,278,-1.32,0.05,.274,21,2017,NHL
Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2017,NHL
Anaheim Ducks*,82,46,23,13,105,.640,223,200,0.24,-0.04,.561,43,2017,NHL
Edmonton Oilers*,82,47,26,9,103,.628,247,212,0.37,-0.06,.579,43,2017,NHL
San Jose Sharks*,82,46,29,7,99,.604,221,201,0.21,-0.03,.555,44,2017,NHL
Calgary Flames*,82,45,33,4,94,.573,226,221,0.02,-0.04,.537,41,2017,NHL
Los Angeles Kings,82,39,35,8,86,.524,201,205,-0.07,-0.02,.488,37,2017,NHL
Arizona Coyotes,82,30,42,10,70,.427,197,260,-0.76,0.01,.341,24,2017,NHL
Vancouver Canucks,82,30,43,9,69,.421,182,243,-0.73,0.01,.354,26,2017,NHL
Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,2017,NHL
Florida Panthers*,82,47,26,9,103,.628,239,203,0.42,-0.02,.549,40,2017,NHL
Tampa Bay Lightning*,82,46,31,5,97,.591,227,201,0.30,-0.02,.561,43,2017,NHL
Detroit Red Wings*,82,41,30,11,93,.567,211,224,-0.16,0.00,.518,39,2017,NHL
Boston Bruins,82,42,31,9,93,.567,240,230,0.11,-0.02,.500,38,2017,NHL
Ottawa Senators,82,38,35,9,85,.518,236,247,-0.13,0.01,.463,32,2017,NHL
Montreal Canadiens,82,38,38,6,82,.500,221,236,-0.18,0.00,.451,33,2017,NHL
Buffalo Sabres,82,35,36,11,81,.494,201,222,-0.25,0.01,.457,33,2017,NHL
Toronto Maple Leafs,82,29,42,11,69,.421,198,246,-0.56,0.03,.354,23,2017,NHL
Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,2017,NHL
Washington Capitals*,82,56,18,8,120,.732,252,193,0.70,-0.02,.671,52,2017,NHL
Pittsburgh Penguins*,82,48,26,8,104,.634,245,203,0.50,-0.01,.585,44,2017,NHL
New York Rangers*,82,46,27,9,101,.616,236,217,0.24,0.01,.555,43,2017,NHL
New York Islanders*,82,45,27,10,100,.610,232,216,0.19,0.00,.549,40,2017,NHL
Philadelphia Flyers*,82,41,27,14,96,.585,214,218,-0.03,0.02,.530,38,2017,NHL
Carolina Hurricanes,82,35,31,16,86,.524,198,226,-0.31,0.03,.445,33,2017,NHL
New Jersey Devils,82,38,36,8,84,.512,184,208,-0.28,0.02,.488,36,2017,NHL
Columbus Blue Jackets,82,34,40,8,76,.463,219,252,-0.38,0.03,.402,28,2017,NHL
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2017,NHL
Dallas Stars*,82,50,23,9,109,.665,267,230,0.45,-0.01,.610,48,2017,NHL
St. Louis Blues*,82,49,24,9,107,.652,224,201,0.28,0.00,.591,44,2017,NHL
Chicago Blackhawks*,82,47,26,9,103,.628,235,209,0.32,0.00,.579,46,2017,NHL
Nashville Predators*,82,41,27,14,96,.585,228,215,0.17,0.01,.488,37,2017,NHL
Minnesota Wild*,82,38,33,11,87,.530,216,206,0.13,0.01,.457,35,2017,NHL
Colorado Avalanche,82,39,39,4,82,.500,216,240,-0.26,0.03,.451,35,2017,NHL
Winnipeg Jets,82,35,39,8,78,.476,215,239,-0.26,0.03,.427,32,2017,NHL
Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2017,NHL
Anaheim Ducks*,82,46,25,11,103,.628,218,192,0.27,-0.05,.567,43,2017,NHL
Los Angeles Kings*,82,48,28,6,102,.622,225,195,0.32,-0.04,.591,46,2017,NHL
San Jose Sharks*,82,46,30,6,98,.598,241,210,0.33,-0.05,.555,42,2017,NHL
Arizona Coyotes,82,35,39,8,78,.476,209,245,-0.43,0.01,.427,34,2017,NHL
Calgary Flames,82,35,40,7,77,.470,231,260,-0.36,-0.01,.433,33,2017,NHL
Vancouver Canucks,82,31,38,13,75,.457,191,243,-0.62,0.02,.372,26,2017,NHL
Edmonton Oilers,82,31,43,8,70,.427,203,245,-0.51,0.00,.372,27,2017,NHL
Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,2015,NHL
Montreal Canadiens*,82,50,22,10,110,.671,221,189,0.36,-0.03,.598,43,2015,NHL
Tampa Bay Lightning*,82,50,24,8,108,.659,262,211,0.57,-0.06,.622,47,2015,NHL
Detroit Red Wings*,82,43,25,14,100,.610,235,221,0.14,-0.03,.561,39,2015,NHL
Ottawa Senators*,82,43,26,13,99,.604,238,215,0.25,-0.04,.530,37,2015,NHL
Boston Bruins,82,41,27,14,96,.585,213,211,0.01,-0.01,.537,37,2015,NHL
Florida Panthers,82,38,29,15,91,.555,206,223,-0.23,-0.02,.476,30,2015,NHL
Toronto Maple Leafs,82,30,44,8,68,.415,211,262,-0.61,0.02,.366,25,2015,NHL
Buffalo Sabres,82,23,51,8,54,.329,161,274,-1.33,0.05,.262,15,2015,NHL
Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,2015,NHL
New York Rangers*,82,53,22,7,113,.689,252,192,0.69,-0.04,.652,49,2015,NHL
Washington Capitals*,82,45,26,11,101,.616,242,203,0.44,-0.03,.543,40,2015,NHL
New York Islanders*,82,47,28,7,101,.616,252,230,0.26,-0.01,.567,40,2015,NHL
Pittsburgh Penguins*,82,43,27,12,98,.598,221,210,0.12,-0.01,.537,39,2015,NHL
Columbus Blue Jackets,82,42,35,5,89,.543,236,250,-0.16,0.01,.470,33,2015,NHL
Philadelphia Flyers,82,33,31,18,84,.512,215,234,-0.23,0.00,.451,30,2015,NHL
New Jersey Devils,82,32,36,14,78,.476,181,216,-0.40,0.02,.402,27,2015,NHL
Carolina Hurricanes,82,30,41,11,71,.433,188,226,-0.44,0.02,.378,25,2015,NHL
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2015,NHL
St. Louis Blues*,82,51,24,7,109,.665,248,201,0.59,0.02,.591,42,2015,NHL
Nashville Predators*,82,47,25,10,104,.634,232,208,0.33,0.03,.573,41,2015,NHL
Chicago Blackhawks*,82,48,28,6,102,.622,229,189,0.51,0.02,.549,39,2015,NHL
Minnesota Wild*,82,46,28,8,100,.610,231,201,0.39,0.03,.555,42,2015,NHL
Winnipeg Jets*,82,43,26,13,99,.604,230,210,0.29,0.04,.518,36,2015,NHL
Dallas Stars,82,41,31,10,92,.561,261,260,0.06,0.05,.494,37,2015,NHL
Colorado Avalanche,82,39,31,12,90,.549,219,227,-0.04,0.06,.439,29,2015,NHL
Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2015,NHL
Anaheim Ducks*,82,51,24,7,109,.665,236,226,0.10,-0.03,.604,43,2015,NHL
Vancouver Canucks*,82,48,29,5,101,.616,242,222,0.20,-0.05,.561,42,2015,NHL
Calgary Flames*,82,45,30,7,97,.591,241,216,0.26,-0.05,.543,41,2015,NHL
Los Angeles Kings,82,40,27,15,95,.579,220,205,0.16,-0.03,.524,38,2015,NHL
San Jose Sharks,82,40,33,9,89,.543,228,232,-0.08,-0.03,.500,36,2015,NHL
Edmonton Oilers,82,24,44,14,62,.378,198,283,-1.01,0.03,.305,19,2015,NHL
Arizona Coyotes,82,24,50,8,56,.341,170,272,-1.20,0.04,.293,19,2015,NHL
Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,2014,NHL
Boston Bruins*,82,54,19,9,117,.713,261,177,0.92,-0.11,.677,51,2014,NHL
Tampa Bay Lightning*,82,46,27,9,101,.616,240,215,0.25,-0.06,.549,38,2014,NHL
Montreal Canadiens*,82,46,28,8,100,.610,215,204,0.08,-0.05,.543,40,2014,NHL
Detroit Red Wings*,82,39,28,15,93,.567,222,230,-0.14,-0.04,.500,34,2014,NHL
Ottawa Senators,82,37,31,14,88,.537,236,265,-0.37,-0.02,.451,30,2014,NHL
Toronto Maple Leafs,82,38,36,8,84,.512,231,256,-0.34,-0.04,.433,29,2014,NHL
Florida Panthers,82,29,45,8,66,.402,196,268,-0.87,0.01,.341,21,2014,NHL
Buffalo Sabres,82,21,51,10,52,.317,157,248,-1.09,0.02,.244,14,2014,NHL
Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,Metropolitan Division,2014,NHL
Pittsburgh Penguins*,82,51,24,7,109,.665,249,207,0.47,-0.04,.598,44,2014,NHL
New York Rangers*,82,45,31,6,96,.585,218,193,0.26,-0.04,.543,41,2014,NHL
Philadelphia Flyers*,82,42,30,10,94,.573,236,235,-0.01,-0.02,.543,39,2014,NHL
Columbus Blue Jackets*,82,43,32,7,93,.567,231,216,0.16,-0.03,.506,38,2014,NHL
Washington Capitals,82,38,30,14,90,.549,235,240,-0.08,-0.02,.470,28,2014,NHL
New Jersey Devils,82,35,29,18,88,.537,197,208,-0.15,-0.02,.506,35,2014,NHL
Carolina Hurricanes,82,36,35,11,83,.506,207,230,-0.29,-0.01,.451,34,2014,NHL
New York Islanders,82,34,37,11,79,.482,225,267,-0.51,0.00,.396,25,2014,NHL
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2014,NHL
Colorado Avalanche*,82,52,22,8,112,.683,250,220,0.40,0.04,.628,47,2014,NHL
St. Louis Blues*,82,52,23,7,111,.677,248,191,0.71,0.01,.598,43,2014,NHL
Chicago Blackhawks*,82,46,21,15,107,.652,267,220,0.60,0.02,.573,40,2014,NHL
Minnesota Wild*,82,43,27,12,98,.598,207,206,0.07,0.05,.524,35,2014,NHL
Dallas Stars*,82,40,31,11,91,.555,235,228,0.14,0.05,.494,36,2014,NHL
Nashville Predators,82,38,32,12,88,.537,216,242,-0.25,0.07,.506,36,2014,NHL
Winnipeg Jets,82,37,35,10,84,.512,227,237,-0.07,0.06,.439,29,2014,NHL
Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2014,NHL
Anaheim Ducks*,82,54,20,8,116,.707,266,209,0.68,-0.01,.677,51,2014,NHL
San Jose Sharks*,82,51,22,9,111,.677,249,200,0.60,0.00,.604,41,2014,NHL
Los Angeles Kings*,82,46,28,8,100,.610,206,174,0.40,0.01,.549,38,2014,NHL
Phoenix Coyotes,82,37,30,15,89,.543,216,231,-0.16,0.03,.457,31,2014,NHL
Vancouver Canucks,82,36,35,11,83,.506,196,223,-0.30,0.03,.451,31,2014,NHL
Calgary Flames,82,35,40,7,77,.470,209,241,-0.35,0.04,.402,28,2014,NHL
Edmonton Oilers,82,29,44,9,67,.409,203,270,-0.75,0.07,.348,25,2014,NHL
