"Year Level","Qualification","Academic Year","Typical Level Flag","Cumulative Year Attainment Rate","Current Year Attainment Rate","Cumulative Year Attainment","Current Year Attainment","Total Student Count","Cohort Warning"
"11","NCEA Level 1","2009","1","0.606","0.599","38956","38528","64295",""
"11","NCEA Level 1","2010","1","0.63","0.623","40095","39681","63668",""
"11","NCEA Level 1","2011","1","0.631","0.623","40152","39641","63629",""
"11","NCEA Level 1","2012","1","0.653","0.644","40001","39448","61299",""
"11","NCEA Level 1","2013","1","0.7","0.693","42761","42334","61125",""
"11","NCEA Level 1","2014","1","0.724","0.718","43071","42689","59482",""
"11","NCEA Level 1","2015","1","0.745","0.738","45235","44843","60735",""
"11","NCEA Level 1","2016","1","0.752","0.746","45859","45493","60952",""
"11","NCEA Level 1","2017","1","0.75","0.743","44512","44104","59342",""
"11","NCEA Level 1","2018","1","0.72","0.713","43035","42605","59795",""
"12","NCEA Level 1","2009","0","0.789","0.123","44649","6956","56562",""
"12","NCEA Level 1","2010","0","0.805","0.131","46024","7478","57184",""
"12","NCEA Level 1","2011","0","0.81","0.118","47002","6831","58049",""
"12","NCEA Level 1","2012","0","0.816","0.121","46868","6957","57426",""
"12","NCEA Level 1","2013f","0","0.846","0.139","47533","7838","56193",""
"12","NCEA Level 1","2014","0","0.87","0.117","48847","6560","56176",""
"12","NCEA Level 1","2015","0","0.879","0.11","48513","6097","55183",""
"12","NCEA Level 1","2016","0","0.888","0.104","50608","5917","57004",""
"12","NCEA Level 1","2017","0","0.889","0.098","50815","5578","57136",""
"12","NCEA Level 1","2018","0","0.888","0.099","49258","5467","55490",""
"13","NCEA Level 1","2009","0","0.867","0.031","37910","1348","43724",""
"13","NCEA Level 1","2010","0","0.872","0.033","40119","1522","46025",""
"13","NCEA Level 1","2011","0","0.87","0.026","41785","1257","48014",""
"13","NCEA Level 1","2012","0","0.88","0.031","42392","1499","48181",""
"13","NCEA Level 1","2013","0","0.887","0.044","44154","2166","49789",""
"13","NCEA Level 1","2014","0","0.904","0.027","43036","1288","47606",""
"13","NCEA Level 1","2015","0","0.912","0.025","44670","1214","49007",""
"13","NCEA Level 1","2016","0","0.915","0.024","44284","1157","48421",""
"13","NCEA Level 1","2017","0","0.921","0.021","45298","1021","49176",""
"13","NCEA Level 1","2018","0","0.923","0.02","44682","989","48394",""
"11","NCEA Level 2","2009","0","0.012","0.011","793","728","64295",""
"11","NCEA Level 2","2010","0","0.014","0.012","867","771","63668",""
"11","NCEA Level 2","2011","0","0.013","0.012","858","738","63629",""
"11","NCEA Level 2","2012","0","0.014","0.012","870","738","61299",""
"11","NCEA Level 2","2013","0","0.015","0.014","932","877","61125",""
"11","NCEA Level 2","2014","0","0.015","0.014","877","851","59482",""
"11","NCEA Level 2","2015","0","0.016","0.015","944","911","60735",""
"11","NCEA Level 2","2016","0","0.016","0.015","973","923","60952",""
"11","NCEA Level 2","2017","0","0.018","0.018","1076","1045","59342",""
"11","NCEA Level 2","2018","0","0.013","0.013","785","756","59795",""
"12","NCEA Level 2","2009","1","0.615","0.598","34786","33808","56562",""
"12","NCEA Level 2","2010","1","0.638","0.619","36455","35381","57184",""
"12","NCEA Level 2","2011","1","0.658","0.633","38195","36740","58049",""
"12","NCEA Level 2","2012","1","0.674","0.652","38732","37461","57426",""
"12","NCEA Level 2","2013","1","0.712","0.691","39983","38839","56193",""
"12","NCEA Level 2","2014","1","0.75","0.729","42145","40961","56176",""
"12","NCEA Level 2","2015","1","0.763","0.745","42092","41111","55183",""
"12","NCEA Level 2","2016","1","0.784","0.764","44707","43525","57004",""
"12","NCEA Level 2","2017","1","0.784","0.763","44807","43567","57136",""
"12","NCEA Level 2","2018","1","0.774","0.751","42940","41658","55490",""
"13","NCEA Level 2","2009","0","0.805","0.102","35186","4471","43724",""
"13","NCEA Level 2","2010","0","0.813","0.115","37401","5290","46025",""
"13","NCEA Level 2","2011","0","0.815","0.103","39120","4922","48014",""
"13","NCEA Level 2","2012","0","0.832","0.102","40075","4921","48181",""
"13","NCEA Level 2","2013","0","0.835","0.106","41552","5295","49789",""
"13","NCEA Level 2","2014","0","0.859","0.088","40910","4174","47606",""
"13","NCEA Level 2","2015","0","0.872","0.076","42715","3718","49007",""
"13","NCEA Level 2","2016","0","0.876","0.072","42401","3496","48421",""
"13","NCEA Level 2","2017","0","0.888","0.063","43655","3087","49176",""
"13","NCEA Level 2","2018","0","0.89","0.061","43050","2935","48394",""
"11","NCEA Level 3","2009","0","0.001","0.001","51","42","64295",""
"11","NCEA Level 3","2010","0","0.001","0.001","65","54","63668",""
"11","NCEA Level 3","2011","0","0.001","0.001","78","70","63629",""
"11","NCEA Level 3","2012","0","0.001","0.001","80","65","61299",""
"11","NCEA Level 3","2013","0","0.001","0.001","64","56","61125",""
"11","NCEA Level 3","2014","0","0.001","0","36","26","59482",""
"11","NCEA Level 3","2015","0","0.001","0","42","29","60735",""
"11","NCEA Level 3","2016","0","0.001","0.001","55","46","60952",""
"11","NCEA Level 3","2017","0","0.001","0.001","84","81","59342",""
"11","NCEA Level 3","2018","0","0.001","0.001","63","56","59795",""
"12","NCEA Level 3","2009","0","0.007","0.007","419","384","56562",""
"12","NCEA Level 3","2010","0","0.008","0.007","459","403","57184",""
"12","NCEA Level 3","2011","0","0.013","0.01","765","559","58049",""
"12","NCEA Level 3","2012","0","0.01","0.008","572","465","57426",""
"12","NCEA Level 3","2013","0","0.011","0.01","633","573","56193",""
"12","NCEA Level 3","2014","0","0.01","0.009","569","478","56176",""
"12","NCEA Level 3","2015","0","0.009","0.009","523","493","55183",""
"12","NCEA Level 3","2016","0","0.01","0.009","569","535","57004",""
"12","NCEA Level 3","2017","0","0.01","0.009","562","521","57136",""
"12","NCEA Level 3","2018","0","0.01","0.009","549","475","55490",""
"13","NCEA Level 3","2009","1","0.512","0.497","22378","21719","43724",""
"13","NCEA Level 3","2010","1","0.521","0.509","23975","23437","46025",""
"13","NCEA Level 3","2011","1","0.533","0.513","25577","24626","48014",""
"13","NCEA Level 3","2012","1","0.55","0.533","26503","25670","48181",""
"13","NCEA Level 3","2013","1","0.563","0.544","28022","27062","49789",""
"13","NCEA Level 3","2014","1","0.595","0.579","28338","27542","47606",""
"13","NCEA Level 3","2015","1","0.625","0.603","30613","29538","49007",""
"13","NCEA Level 3","2016","1","0.64","0.615","30995","29773","48421",""
"13","NCEA Level 3","2017","1","0.654","0.632","32166","31082","49176",""
"13","NCEA Level 3","2018","1","0.661","0.636","31982","30764","48394",""
"11","University Entrance","2009","0","0","0","9","8","64295",""
"11","University Entrance","2010","0","0","0","9","6","63668",""
"11","University Entrance","2011","0","0","0","22","20","63629",""
"11","University Entrance","2012","0","0","0","21","17","61299",""
"11","University Entrance","2013","0","0","0","6","3","61125",""
"11","University Entrance","2014","0","0","0","10","9","59482",""
"11","University Entrance","2015","0","0","0","10","8","60735",""
"11","University Entrance","2016","0","0","0","7","6","60952",""
"11","University Entrance","2017","0","0","0","6","6","59342",""
"11","University Entrance","2018","0","0","0","5","5","59795",""
"12","University Entrance","2009","0","0.005","0.005","286","270","56562",""
"12","University Entrance","2010","0","0.005","0.005","292","275","57184",""
"12","University Entrance","2011","0","0.007","0.005","393","265","58049",""
"12","University Entrance","2012","0","0.006","0.005","333","280","57426",""
"12","University Entrance","2013","0","0.007","0.007","402","387","56193",""
"12","University Entrance","2014","0","0.006","0.005","325","271","56176",""
"12","University Entrance","2015","0","0.005","0.005","300","290","55183",""
"12","University Entrance","2016","0","0.006","0.006","366","355","57004",""
"12","University Entrance","2017","0","0.005","0.005","273","263","57136",""
"12","University Entrance","2018","0","0.005","0.005","272","262","55490",""
"13","University Entrance","2009","1","0.468","0.456","20450","19957","43724",""
"13","University Entrance","2010","1","0.461","0.454","21219","20876","46025",""
"13","University Entrance","2011","1","0.465","0.45","22328","21626","48014",""
"13","University Entrance","2012","1","0.483","0.472","23286","22727","48181",""
"13","University Entrance","2013","1","0.499","0.485","24867","24167","49789",""
"13","University Entrance","2014","1","0.457","0.443","21747","21113","47606",""
"13","University Entrance","2015","1","0.48","0.469","23518","22990","49007",""
"13","University Entrance","2016","1","0.487","0.471","23569","22823","48421",""
"13","University Entrance","2017","1","0.489","0.474","24023","23301","49176",""
"13","University Entrance","2018","1","0.49","0.474","23694","22937","48394",""
